,ITALY_N,SOUTH KOREA_N,LATVIA_N,LITHUANIA_N,POLAND_N,ROMANIA_N,UKRAINE_N,CZECH REPUBLIC_N,ESTONIA_N,BELGIUM_N,CHINA_N,INDIA_N,date
223,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2015-09-30
224,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2015-10-01
225,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,5.0,5.0,0.0,0.0,2015-10-02
226,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-10-03
227,0.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,2015-10-04
228,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-10-05
229,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2015-10-06
230,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2015-10-07
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2015-10-08
232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,2015-10-09
233,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,2015-10-10
234,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2015-10-11
